name,ticker,market,sector
Export Development Bank of Egypt,EXPA,EGX,Finance
Faisal Islamic Bank of Egypt,FAIT,EGX,Finance
First Investment & Real Estate Development,FIRE,EGX,Finance
Al Fanar Contracting Construction Trade Import & Export Co.,FNAR,EGX,Industrial services
Fitness Prime,FTNS,EGX,Technology services
Fawry For Banking Technology And Electronic Payment,FWRY,EGX,Technology services
GB Corp,GBCO,EGX,Distribution services
Gadwa For Industrial Development,GDWA,EGX,Producer manufacturing
Giza General Contracting & Real Estate Investment,GGCC,EGX,Industrial services
Gogreen for Agricultural Investment and Development Company,GGRN,EGX,Commercial services
Gharbia Islamic Housing Development,GIHD,EGX,Consumer durables
GMC Group for Industrial Commercial & Financial Investments,GMCI,EGX,Distribution services
Golden Coast Co.,GOCO,EGX,Consumer services
Golden Pyramids Plaza,GPPL,EGX,Finance
Grand Investment Capital,GRCA,EGX,Finance
General Silos & Storage Co.,GSSC,EGX,Retail trade
G-TEX for Commercial and Industrial Investments S.A.E,GTEX,EGX,Finance
Golden Textiles & Clothes Wool,GTWL,EGX,Process industries
Hassan Allam Investments & Venture Capital S.A.E,HAVC,EGX,
Heibco Npv,HBCO,EGX,
Housing & Development Bank,HDBK,EGX,Finance
HEDGESTONE INVESTMENT,HDST,EGX,
Heliopolis Housing,HELI,EGX,Consumer durables
EFG Holding S.A.E.,HRHO,EGX,Finance
International Business Corp. for Trading & Agencies,IBCT,EGX,Distribution services
International Co. for Fertilizers & Chemicals,ICFC,EGX,Process industries
International Company for Investment & Development,ICID,EGX,Finance
International Co. for Leasing SAE,ICLE,EGX,Finance
International Company for Medical Industries,ICMI,EGX,Distribution services
Ismailia Development & Real Estate Co.,IDRE,EGX,Finance
Industrial & Engineering Enterprises Co.,IEEC,EGX,Industrial services
International Agricultural Products,IFAP,EGX,Process industries
Integrated Engineering Group S.A.E,INEG,EGX,Producer manufacturing
Ismailia National Food Industries,INFI,EGX,Consumer non-durables
Egyptian Iron & Steel,IRON,EGX,Non-energy minerals
Ismailia Misr Poultry,ISMA,EGX,Process industries
Iron & Steel for Mines & Quarries,ISMQ,EGX,Non-energy minerals
Ibnsina Pharma,ISPH,EGX,Distribution services
Juhayna Food Industries,JUFO,EGX,Consumer non-durables
El Nasr Clothing & Textiles Co.,KABO,EGX,Consumer non-durables
KORRA,KORA,EGX,
Al Khair River for Development Agriculture Investment and Environmental Services,KRDI,EGX,Finance
El Kahera El Watania Investment,KWIN,EGX,Finance
Kafr El Zayat Pesticides & Chemical Co.,KZPC,EGX,Process industries
Lecico Egypt SAE,LCSW,EGX,Producer manufacturing
Lotus For Agricultural Investments And Development,LUTS,EGX,Finance
Marseilla Al Masreia Al Khalegeya for Holding Investment,MAAL,EGX,Finance
Madinet Masr for Housing & Development,MASR,EGX,Finance
MB for Engineering & Contracting,MBEG,EGX,Distribution services
Misr Beni Suef Cement Co. SAE,MBSC,EGX,Non-energy minerals
Misr Cement Co. (Qena),MCQE,EGX,Non-energy minerals
